unique,caseno,Date,block,iucr,Type,Type_desc,Where,Arrest,Domestic,Beat,District,Ward,Community_area,FBI,x,y,Year,Updated,Latitude,Longitude,Location,color1,color2
10226517,HY414014,09-07-2015 13:30,018XX N WELLS ST,890,THEFT,FROM BUILDING,SMALL RETAIL STORE,FALSE,FALSE,1814,18,43,7,6,1174365,1912399,2015,02-10-2018 15:50,41.91502455,-87.63483005,"(41.915024546, -87.634830051)",#FE9A65,#FD7C37
10226518,HY414043,09-06-2015 15:00,006XX E 51ST ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,223,2,4,38,08A,1181204,1871330,2015,02-10-2018 15:50,41.80217327,-87.61097413,"(41.802173267, -87.610974131)",#AB96FF,#7251F9
10226519,HY414023,09-06-2015 21:00,036XX S RHODES AVE,820,THEFT,$500 AND UNDER,ANIMAL HOSPITAL,FALSE,FALSE,212,2,4,35,6,1180179,1881011,2015,02-10-2018 15:50,41.82876229,-87.61443616,"(41.828762287, -87.614436164)",#FE9A65,#FD7C37
10226520,HY414037,09-07-2015 10:00,068XX S DR MARTIN LUTHER KING JR DR,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,322,3,20,69,5,1180100,1859674,2015,02-10-2018 15:50,41.77021349,-87.61537986,"(41.770213487, -87.615379862)",#FCE49C,#FBCF4F
10226521,HY414018,08-03-2015 11:00,017XX W 79TH ST,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",OTHER,FALSE,FALSE,611,6,21,71,7,1166195,1852312,2015,02-10-2018 15:50,41.75031837,-87.66655899,"(41.750318365, -87.666558992)",#F9B0A5,#DE7E6F
10226522,HY413979,09-01-2015 11:55,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16,41,76,6,1101811,1934419,2015,02-10-2018 15:50,41.97676298,-87.90098372,"(41.976762981, -87.900983721)",#FE9A65,#FD7C37
10226523,HY405894,09-07-2015 13:00,033XX W GLADYS AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1134,11,28,27,18,1154013,1898095,2015,02-10-2018 15:50,41.87620351,-87.7099828,"(41.876203505, -87.709982798)",#ff005a,#eb0c83
10226524,HY414004,09-07-2015 12:00,012XX N DEARBORN ST,870,THEFT,POCKET-PICKING,SMALL RETAIL STORE,FALSE,FALSE,1824,18,42,8,6,1175711,1908536,2015,02-10-2018 15:50,41.90439412,-87.63000143,"(41.904394115, -87.630001432)",#FE9A65,#FD7C37
10226525,HY414019,09-07-2015 13:50,008XX N PARKSIDE AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1511,15,29,25,18,1138534,1905140,2015,02-10-2018 15:50,41.89583032,-87.7666463,"(41.895830316, -87.7666463)",#ff005a,#eb0c83
10226526,HY414036,09-06-2015 12:00,065XX S ST LAWRENCE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,TRUE,TRUE,321,3,20,42,04B,1181357,1861839,2015,02-10-2018 15:50,41.77612557,-87.61070558,"(41.776125573, -87.61070558)",#A5FCD4,#6CFFBA
10226527,HY414001,09-02-2015 19:26,051XX S DR MARTIN LUTHER KING JR DR,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,233,2,4,40,08B,1179796,1871080,2015,02-10-2018 15:50,41.8015196,-87.61614545,"(41.8015196, -87.616145447)",#A5FCD4,#6CFFBA
10226528,HY407868,09-07-2015 12:20,005XX S HOMAN AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1134,11,24,27,08B,1153792,1897463,2015,02-10-2018 15:50,41.87447363,-87.71081107,"(41.874473632, -87.710811069)",#A5FCD4,#6CFFBA
10226530,HY413917,09-06-2015 05:00,032XX W CERMAK RD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,1022,10,24,30,04B,1155283,1889197,2015,02-10-2018 15:50,41.85176102,-87.70555867,"(41.851761023, -87.705558672)",#A5FCD4,#6CFFBA
