city,crime_name,2011,2012,2013,2014,avg
Ahmedabad,Sexual harassment and molestation of women,3.3,2.9,6.3,5.5,4.1
Ahmedabad,Stalking,,,,0.4,0.4
Ahmedabad,Student riots,,,,0,0
Ahmedabad,Theft,61,57,54.3,40.8,63.2
Ahmedabad,Total cognizable crimes under IPC,318.1,336.1,334.7,240.6,340.8
Ahmedabad,Unlawful assembly,,,,0.3,0.3
Ahmedabad,Unnatural offences,,,,0,0
Ahmedabad,Use of criminal force with intent to disrobe women,,,,0,0
Ahmedabad,"Using as genuine, forged or counterfeiting currency or bank notes",,,,0,0
Ahmedabad,Voyeurism,,,,0.1,0.1
Allahabad,Acid attack,,,,0.2,0.2
Allahabad,Agrarian riots,,,,0,0
Allahabad,Arson,0.2,0.4,0.3,0,0.2
Allahabad,Assault on women with intent to outrage her modesty,2,3,16.4,17.1,8
Allahabad,Attempt to acid attack,,,,0,0
Allahabad,Attempt to commit culpable homicide not amounting to murder,,,,0,0
Allahabad,Attempt to commit murder,4.9,4.9,4.1,4.8,4.6
Allahabad,Attempt to commit rape,,,,0,0
Allahabad,Auto theft,68.1,60.1,75.4,108.9,71.7
Allahabad,Burglary,11,11.1,13.6,15.6,12.7
Allahabad,Caste conflict riots,,,,0,0
Allahabad,Causing death by negligence,14.6,5.9,6.2,6.4,12.5
Allahabad,Causing injuries under rash driving or road rage,,,,19,19
Allahabad,Cheating,12.7,15.6,21.7,24.6,17.6
Allahabad,Communal riots,,,,0,0
Allahabad,Counterfeit currency & bank notes total,,,,0.5,0.5
Allahabad,Counterfeiting,0.9,0.6,0.7,0.5,1.1
Allahabad,Counterfeiting currency - notes or bank notes,,,,0.5,0.5
Allahabad,Counterfeiting government stamp,,,,0,0
Allahabad,Criminal breach of trust,5.5,3.9,4.2,4.8,4.5
Allahabad,Criminal trespass or burglary,,,,15.6,15.6
Allahabad,Cruelty by husband or his relatives,16.4,23.5,27.8,31.4,22.1
Allahabad,Culpable homicide not amounting to murder,0.6,0.6,1,0.7,0.7
Allahabad,Custodial rape,0,0,0,0,0
Allahabad,Dacoity,0.2,0.2,0.1,0.2,0.2
Allahabad,Dacoity with murder,,,,0,0
Allahabad,Deaths due to other causes,,,,0,0
Allahabad,Deaths due to rash or negligent driving,,,,6.4,6.4
Allahabad,Disclosure of identity of victims,,,,0,0
